subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,2,E70,Left,Occipital,O1,0.246300902,0.246300902,0
A1i7n,eyes_open,2,E71,Central,Occipital,Oz,0.436253632,0.436253632,0
A1i7n,eyes_open,2,E72,Central,Parietal,Pz,0.251636136,0.251636136,0
A1i7n,eyes_open,2,E74,Left,Occipital,O1,0.107736308,0.107736308,0
A1i7n,eyes_open,2,E75,Central,Occipital,Oz,0.21123943,0.21123943,0
A1i7n,eyes_open,2,E76,Central,Occipital,Oz,0.206702291,0.206702291,0
A1i7n,eyes_open,2,E77,Central,Parietal,Pz,0.271663744,0.271663744,0
A1i7n,eyes_open,2,E78,Central,Parietal,Pz,0.081104133,0.081104133,0
A1i7n,eyes_open,2,E79,Central,Central,Cz,0.299757884,0.299757884,0
A1i7n,eyes_open,2,E80,Central,Central,Cz,0.412765481,0.412765481,0
A1i7n,eyes_open,2,E82,Right,Occipital,O2,0.2737706,0.2737706,0
A1i7n,eyes_open,2,E83,Right,Occipital,O2,0.117195485,0.117195485,0
A1i7n,eyes_open,2,E84,Right,Occipital,O3,0.096888461,0.096888461,0
A1i7n,eyes_open,2,E85,Right,Parietal,P4,8.1118E-05,8.1118E-05,0
A1i7n,eyes_open,2,E86,Right,Parietal,P4,0.421441698,0.421441698,0
A1i7n,eyes_open,2,E87,Central,Central,Cz,0.320901813,0.320901813,0
A1i7n,eyes_open,2,E89,Right,Occipital,O2,0.245053495,0.245053495,0
A1i7n,eyes_open,2,E90,Right,Parietal,P8,0.029685208,0.029685208,0
A1i7n,eyes_open,2,E91,Right,Parietal,P8,0.263999334,0.263999334,0
A1i7n,eyes_open,2,E92,Right,Parietal,P4,0.233356498,0.233356498,0
A1i7n,eyes_open,2,E93,Right,Central,C4,0.516044712,0.516044712,0
A1i7n,eyes_open,2,E95,Right,Parietal,P8,0.223265176,0.223265176,0
A1i7n,eyes_open,2,E96,Right,Parietal,P8,0.311317885,0.311317885,0
A1i7n,eyes_open,2,E97,Right,Parietal,P8,0.207435059,0.207435059,0
A1i7n,eyes_open,2,E98,Right,Central,C8,0.214565176,0.214565176,0
A1i7n,eyes_open,2,E100,Right,Temporal,TR,0.199097602,0.199097602,0
A1i7n,eyes_open,2,E101,Right,Temporal,TR,0.428785083,0.428785083,0
A1i7n,eyes_open,2,E102,Right,Temporal,TR,0.388610322,0.388610322,0
A1i7n,eyes_open,2,E103,Right,Central,C8,0.20147688,0.20147688,0
A1i7n,eyes_open,2,E104,Right,Central,C4,0.07413757,0.07413757,0
A1i7n,eyes_open,2,E105,Central,Central,Cz,0.74525048,0.74525048,0
A1i7n,eyes_open,2,E106,Central,Central,Cz,0.215740978,0.215740978,0
A1i7n,eyes_open,2,E108,Right,Temporal,TR,0.423111309,0.423111309,0
A1i7n,eyes_open,2,E109,Right,Temporal,TR,0.116850351,0.116850351,0
A1i7n,eyes_open,2,E110,Right,Central,C8,0.200044017,0.200044017,0
A1i7n,eyes_open,2,E111,Right,Central,C4,0.390419615,0.390419615,0
A1i7n,eyes_open,2,E112,Central,Central,Cz,0.160437464,0.160437464,0
A1i7n,eyes_open,2,E114,Right,Temporal,TR,0.163083626,0.163083626,0
A1i7n,eyes_open,2,E115,Right,Temporal,TR,0.10700497,0.10700497,0
A1i7n,eyes_open,2,E116,Right,Frontal,F8,0.136961097,0.136961097,0
A1i7n,eyes_open,2,E117,Right,Frontal,F4,0.103672442,0.103672442,0
A1i7n,eyes_open,2,E118,Right,Frontal,F4,0.099237201,0.099237201,0
A1i7n,eyes_open,2,E121,Right,Temporal,TR,0.234300143,0.234300143,0
A1i7n,eyes_open,2,E122,Right,Frontal,F8,0.599171221,0.599171221,0
A1i7n,eyes_open,2,E123,Right,Frontal,F4,0.074165479,0.074165479,0
A1i7n,eyes_open,2,E124,Right,Frontal,F4,0.095461495,0.095461495,0
A1i7n,eyes_open,2,Cz,Central,Central,Cz,0.645631174,0.645631174,0
